charges,Erin_charges,Count,Craig_charges,Craig_edit,2C_added
ELUDING/RESISTING/DWI,ELUDING/RESISTING/DWI,2,ELUDING/RESISTING/DWI,ELUDING/RESISTING/DWI,ELUDING/RESISTING/DWI
ELUDISE,ELUDISE,2,ELUDISE,ELUDISE,ELUDISE
ENDANGERING THE WELFARE OF A CHILD 2C 24-4,ENDANGERING THE WELFARE OF A CHILD 2C 24-4,2,ENDANGERING THE WELFARE OF A CHILD 2C 24-4,ENDANGERING THE WELFARE OF A CHILD 2C 24-4,ENDANGERING THE WELFARE OF A CHILD 2C 24-4
ENDANGERING THE WELFARE OF A MINOR,ENDANGERING THE WELFARE OF A MINOR,2,ENDANGERING THE WELFARE OF A MINOR,ENDANGERING THE WELFARE OF A MINOR,ENDANGERING THE WELFARE OF A MINOR
ENDANGERING THE WELFARE RESISTING,ENDANGERING THE WELFARE RESISTING,2,ENDANGERING THE WELFARE RESISTING,ENDANGERING THE WELFARE RESISTING,ENDANGERING THE WELFARE RESISTING
ENDANGERING WELFARE,ENDANGERING WELFARE,2,ENDANGERING WELFARE,ENDANGERING WELFARE,ENDANGERING WELFARE
ENDANGERING WELFARE OF A CHILD LOUDNESS,ENDANGERING WELFARE OF A CHILD LOUDNESS,2,ENDANGERING WELFARE OF A CHILD LOUDNESS,ENDANGERING WELFARE OF A CHILD LOUDNESS,ENDANGERING WELFARE OF A CHILD LOUDNESS
ENFORCEMENT OFFICER,ENFORCEMENT OFFICER,2,ENFORCEMENT OFFICER,ENFORCEMENT OFFICER,ENFORCEMENT OFFICER
ET,ET,2,ET,ET,ET
ETC),ETC),2,ETC),ETC,ETC
EW 12-005777,EW 12-005777,2,EW 12-005777,EW 12-005777,EW 12-005777
EXEMPT 2C:25-33,EXEMPT 2C:25-33,2,EXEMPT 2C:25-33,EXEMPT 2C:25-33,EXEMPT 2C:25-33
EXEMPT 2C:25.33,EXEMPT 2C:25.33,2,EXEMPT 2C:25.33,EXEMPT 2C:25.33,EXEMPT 2C:25.33
F T A WARRANT/OTHER,F T A WARRANT/OTHER,2,F T A WARRANT/OTHER,F T A WARRANT/OTHER,F T A WARRANT/OTHER
FAIL TO DISP,FAIL TO DISP,2,FAIL TO DISP,FAIL TO DISP,FAIL TO DISP
FAIL TO DISPERSE/RESIST,FAIL TO DISPERSE/RESIST,2,FAIL TO DISPERSE/RESIST,FAIL TO DISPERSE/RESIST,FAIL TO DISPERSE/RESIST
FAIL TO SURRENDER CDS,FAIL TO SURRENDER CDS,2,FAIL TO SURRENDER CDS,FAIL TO SURRENDER CDS,FAIL TO SURRENDER CDS
FAILURE ILLEGIBLE,FAILURE ILLEGIBLE,2,FAILURE ILLEGIBLE,FAILURE ILLEGIBLE,FAILURE ILLEGIBLE
FAILURE TO ILLEGIBLE,FAILURE TO ILLEGIBLE,2,FAILURE TO ILLEGIBLE,FAILURE TO ILLEGIBLE,FAILURE TO ILLEGIBLE
FIGHTS/FIGHTS IN PROGRESS (2410),FIGHTS/FIGHTS IN PROGRESS (2410),2,FIGHTS/FIGHTS IN PROGRESS (2410),FIGHTS/FIGHTS IN PROGRESS (2410),FIGHTS/FIGHTS IN PROGRESS (2410)
FILING A FALSE POLICE REPORT,FILING A FALSE POLICE REPORT,2,FILING A FALSE POLICE REPORT,FILING A FALSE POLICE REPORT,FILING A FALSE POLICE REPORT
FIVE,FIVE,2,FIVE,FIVE,FIVE
FOA WARRANT,FOA WARRANT,2,FOA WARRANT,FOA WARRANT,FOA WARRANT
FORCED USED TO PREVENT SUSPECT FROM FURTHER INJURING HIMSELF,FORCED USED TO PREVENT SUSPECT FROM FURTHER INJURING HIMSELF,2,FORCED USED TO PREVENT SUSPECT FROM FURTHER INJURING HIMSELF,FORCED USED TO PREVENT SUSPECT FROM FURTHER INJURING HIMSELF,FORCED USED TO PREVENT SUSPECT FROM FURTHER INJURING HIMSELF
FRAUD,FRAUD,2,FRAUD,FRAUD,FRAUD
FRAUD USE CREDIT CARD# (NO CARD) (1126),FRAUD USE CREDIT CARD# (NO CARD) (1126),2,FRAUD USE CREDIT CARD# (NO CARD) (1126),FRAUD USE CREDIT CARD# (NO CARD) (1126),FRAUD USE CREDIT CARD# (NO CARD) (1126)
FRO VIOLATION,FRO VIOLATION,2,FRO VIOLATION,FRO VIOLATION,FRO VIOLATION
FTA 2A:10-1,FTA 2A:10-1,2,FTA 2A:10-1,FTA 2A:10-1,FTA 2A:10-1
FTA/WARRANTS,FTA/WARRANTS,2,FTA/WARRANTS,FTA/WARRANTS,FTA/WARRANTS
FUGITIVE,FUGITIVE,2,FUGITIVE,FUGITIVE,FUGITIVE
FUGITIVE WANTED PERSON,FUGITIVE WANTED PERSON,2,FUGITIVE WANTED PERSON,FUGITIVE WANTED PERSON,FUGITIVE WANTED PERSON
GUN POSSESSION,GUN POSSESSION,2,GUN POSSESSION,GUN POSSESSION,GUN POSSESSION
D.V. HARASSMENT,HARASSMENT (DV),2,HARASSMENT (DV),HARASSMENT (DV),HARASSMENT (DV)
HARASSMENT/DV,HARASSMENT/DV,2,HARASSMENT/DV,HARASSMENT (DV),HARASSMENT (DV)
HARASSMENT / RESISTING,HARASSMENT & RESISTING,2,HARASSMENT & RESISTING,HARASSMENT & RESISTING,HARASSMENT & RESISTING
HARASSMENT/RESISTING/OBSTRUCTION,HARASSMENT/RESISTING/OBSTRUCTION,2,HARASSMENT/RESISTING/OBSTRUCTION,HARASSMENT/RESISTING/OBSTRUCTION,HARASSMENT/RESISTING/OBSTRUCTION
2C:29-3A3,2C:29-3A(3),2,2C:29-3A(3),2C:29-3A(3),HINDERING
2C:29-3.A(7),2C:29-3.A(7),2,2C:29-3.A(7),2C:29-3.A(7),HINDERING
HINDERING / OBSTRUCTION,HINDERING & OBSTRUCTION,2,HINDERING & OBSTRUCTION,HINDERING & OBSTRUCTION,HINDERING & OBSTRUCTION
HINDERING OBSTRUCTION,HINDERING & OBSTRUCTION,2,HINDERING & OBSTRUCTION,HINDERING & OBSTRUCTION,HINDERING & OBSTRUCTION
OBSTRUCTION & HINDERING,HINDERING & OBSTRUCTION,2,HINDERING & OBSTRUCTION,HINDERING & OBSTRUCTION,HINDERING & OBSTRUCTION
OBSTRUCTION HINDERING RESISTING,HINDERING & OBSTRUCTION & RESISTING,2,HINDERING & OBSTRUCTION & RESISTING,HINDERING & OBSTRUCTION & RESISTING,HINDERING & OBSTRUCTION & RESISTING
RESISTING ARREST / HINDERING,HINDERING & RESISTING,2,HINDERING & RESISTING,HINDERING & RESISTING,HINDERING & RESISTING
HINDERING APPREHENSION AND ESCAPE,HINDERING APPREHENSION AND ESCAPE,2,HINDERING APPREHENSION AND ESCAPE,HINDERING APPREHENSION AND ESCAPE,HINDERING APPREHENSION AND ESCAPE
HINDERING APPREHENSION OF OTHER,HINDERING APPREHENSION OF OTHER,2,HINDERING APPREHENSION OF OTHER,HINDERING APPREHENSION OF OTHER,HINDERING APPREHENSION OF OTHER
HINDERING APPREHENSION OR PROSECUTION OF ANOTHER,HINDERING APPREHENSION OR PROSECUTION OF ANOTHER,2,HINDERING APPREHENSION OR PROSECUTION OF ANOTHER,HINDERING APPREHENSION OR PROSECUTION OF ANOTHER,HINDERING APPREHENSION OR PROSECUTION OF ANOTHER
HINDERING BY FLIGHT,HINDERING BY FLIGHT,2,HINDERING BY FLIGHT,HINDERING BY FLIGHT,HINDERING BY FLIGHT
HINDERING CONTEMPT 5 TIMES,HINDERING CONTEMPT 5 TIMES,2,HINDERING CONTEMPT 5 TIMES,HINDERING CONTEMPT 5 TIMES,HINDERING CONTEMPT 5 TIMES
HINDERING DISCORD,HINDERING DISCORD,2,HINDERING DISCORD,HINDERING DISCORD,HINDERING DISCORD
HINDERING ILLEGIBLE,HINDERING ILLEGIBLE,2,HINDERING ILLEGIBLE,HINDERING ILLEGIBLE,HINDERING ILLEGIBLE
HINDERING-RESISTING,HINDERING-RESISTING,2,HINDERING-RESISTING,HINDERING-RESISTING,HINDERING-RESISTING
HINDERING/ RESISTING ARREST/ CDS POSS,HINDERING/ RESISTING ARREST/ CDS POSS,2,HINDERING/ RESISTING ARREST/ CDS POSS,HINDERING/ RESISTING ARREST/ CDS POSS,HINDERING/ RESISTING ARREST/ CDS POSS
ILLEGIBLE CONDUCT,ILLEGIBLE CONDUCT,2,ILLEGIBLE CONDUCT,ILLEGIBLE CONDUCT,ILLEGIBLE CONDUCT
ILLEGIBLE DISORDERLY CONDUCT,ILLEGIBLE DISORDERLY CONDUCT,2,ILLEGIBLE DISORDERLY CONDUCT,ILLEGIBLE DISORDERLY CONDUCT,ILLEGIBLE DISORDERLY CONDUCT
ILLEGIBLE FIREARM,ILLEGIBLE FIREARM,2,ILLEGIBLE FIREARM,ILLEGIBLE FIREARM,ILLEGIBLE FIREARM
ILLEGIBLE METRO,ILLEGIBLE METRO,2,ILLEGIBLE METRO,ILLEGIBLE METRO,ILLEGIBLE METRO
ILLEGIBLE OBSTRUCTING,ILLEGIBLE OBSTRUCTING,2,ILLEGIBLE OBSTRUCTING,ILLEGIBLE OBSTRUCTING,ILLEGIBLE OBSTRUCTING
ILLEGIBLE OBSTRUCTION,ILLEGIBLE OBSTRUCTION,2,ILLEGIBLE OBSTRUCTION,ILLEGIBLE OBSTRUCTION,ILLEGIBLE OBSTRUCTION
ILLEGIBLE POLICE,ILLEGIBLE POLICE,2,ILLEGIBLE POLICE,ILLEGIBLE POLICE,ILLEGIBLE POLICE
ILLEGIBLE POSSESSION OF HYPODERMIC NEEDLES,ILLEGIBLE POSSESSION OF HYPODERMIC NEEDLES,2,ILLEGIBLE POSSESSION OF HYPODERMIC NEEDLES,ILLEGIBLE POSSESSION OF HYPODERMIC NEEDLES,ILLEGIBLE POSSESSION OF HYPODERMIC NEEDLES
IMITATION CDS,IMITATION CDS,2,IMITATION CDS,IMITATION CDS,IMITATION CDS
IMPROPER BEH,IMPROPER BEH,2,IMPROPER BEH,IMPROPER BEH,IMPROPER BEH
IMPROPER BEHAVIOR (388-4AY),IMPROPER BEHAVIOR (388-4AY),2,IMPROPER BEHAVIOR (388-4AY),IMPROPER BEHAVIOR,IMPROPER BEHAVIOR
IMPROPER BEHAVIOR (MC395-8),IMPROPER BEHAVIOR (MC395-8),2,IMPROPER BEHAVIOR (MC395-8),IMPROPER BEHAVIOR (MC395-8),IMPROPER BEHAVIOR (MC395-8)
RESISTING ARREST / IMPROPER BEHAVIOR,IMPROPER BEHAVIOR & RESISTING,2,IMPROPER BEHAVIOR & RESISTING,IMPROPER BEHAVIOR & RESISTING,IMPROPER BEHAVIOR & RESISTING
IMPROPER BEHAVIOR AND AGGRAVATED ASSAULT ON POLICE,IMPROPER BEHAVIOR AND AGGRAVATED ASSAULT ON POLICE,2,IMPROPER BEHAVIOR AND AGGRAVATED ASSAULT ON POLICE,IMPROPER BEHAVIOR AND AGGRAVATED ASSAULT ON POLICE,IMPROPER BEHAVIOR AND AGGRAVATED ASSAULT ON POLICE
IMPROPER BEHAVIOR FALSE INFORMATION,IMPROPER BEHAVIOR FALSE INFORMATION,2,IMPROPER BEHAVIOR FALSE INFORMATION,IMPROPER BEHAVIOR FALSE INFORMATION,IMPROPER BEHAVIOR FALSE INFORMATION
IMPROPER BEHAVIOR OBSTRUCTING/ADMIN/ LAW,IMPROPER BEHAVIOR OBSTRUCTING/ADMIN/ LAW,2,IMPROPER BEHAVIOR OBSTRUCTING/ADMIN/ LAW,IMPROPER BEHAVIOR OBSTRUCTING/ADMIN/ LAW,IMPROPER BEHAVIOR OBSTRUCTING/ADMIN/ LAW
IMPROPER/OBSTRUCTING,IMPROPER/OBSTRUCTING,2,IMPROPER/OBSTRUCTING,IMPROPER/OBSTRUCTING,IMPROPER/OBSTRUCTING
INT,INT,2,INT,INT,INT
INTENT TO DISTRIBUTE CDS,INTENT TO DISTRIBUTE CDS,2,INTENT TO DISTRIBUTE CDS,INTENT TO DISTRIBUTE CDS,INTENT TO DISTRIBUTE CDS
INTERFERENCE PROHIBITED,INTERFERENCE PROHIBITED,2,INTERFERENCE PROHIBITED,INTERFERENCE PROHIBITED,INTERFERENCE PROHIBITED
INTERFERING WITH MEANS OF CONVEYANCE,INTERFERING WITH MEANS OF CONVEYANCE,2,INTERFERING WITH MEANS OF CONVEYANCE,INTERFERING WITH MEANS OF CONVEYANCE,INTERFERING WITH MEANS OF CONVEYANCE
INTERFERING WITH OFFICER,INTERFERING WITH OFFICER,2,INTERFERING WITH OFFICER,INTERFERING WITH OFFICER,INTERFERING WITH OFFICER
INTERFERING WITH TRANSPORTATION,INTERFERING WITH TRANSPORTATION,2,INTERFERING WITH TRANSPORTATION,INTERFERING WITH TRANSPORTATION,INTERFERING WITH TRANSPORTATION
INVOLUNTARY PESS PATIENT,INVOLUNTARY PESS PATIENT,2,INVOLUNTARY PESS PATIENT,INVOLUNTARY PESS PATIENT,INVOLUNTARY PESS PATIENT
INVOLUNTARY PSYCH. EVAL,INVOLUNTARY PSYCH. EVAL,2,INVOLUNTARY PSYCH. EVAL,INVOLUNTARY PSYCH. EVAL,INVOLUNTARY PSYCH. EVAL
INVOLUNTARY PSYCHIATRIC EVA,INVOLUNTARY PSYCHIATRIC EVA,2,INVOLUNTARY PSYCHIATRIC EVA,INVOLUNTARY PSYCHIATRIC EVA,INVOLUNTARY PSYCHIATRIC EVA
INVOLUNTARY TRANSPORT,INVOLUNTARY TRANSPORT,2,INVOLUNTARY TRANSPORT,INVOLUNTARY TRANSPORT,INVOLUNTARY TRANSPORT
JUVENILE,JUVENILE,2,JUVENILE,JUVENILE,JUVENILE
JUVENILE DELINQUENCY (FRAUD,JUVENILE DELINQUENCY (FRAUD,2,JUVENILE DELINQUENCY (FRAUD,JUVENILE DELINQUENCY (FRAUD,JUVENILE DELINQUENCY (FRAUD
JUVENILE INCIDENT PSYCHOLOGY EVAL,JUVENILE INCIDENT PSYCHOLOGY EVAL,2,JUVENILE INCIDENT PSYCHOLOGY EVAL,JUVENILE INCIDENT PSYCHOLOGY EVAL,JUVENILE INCIDENT PSYCHOLOGY EVAL
JUVENILE PETITION - ASSAULT ON POLICE OFFICER,JUVENILE PETITION - ASSAULT ON POLICE OFFICER,2,JUVENILE PETITION - ASSAULT ON POLICE OFFICER,JUVENILE PETITION - ASSAULT ON POLICE OFFICER,JUVENILE PETITION - ASSAULT ON POLICE OFFICER
L.O. 138-5,L.O. 138-5,2,L.O. 138-5,L.O. 138-5,L.O. 138-5
L.O. 246-3.A,L.O. 246-3.A,2,L.O. 246-3.A,L.O. 246-3.A,L.O. 246-3.A
L.O. 619,L.O. 619,2,L.O. 619,L.O. 619,L.O. 619
LEWDNESS/OBSTRUCTING ADMIN OF LAW,LEWDNESS/OBSTRUCTING ADMIN OF LAW,2,LEWDNESS/OBSTRUCTING ADMIN OF LAW,LEWDNESS/OBSTRUCTING ADMIN OF LAW,LEWDNESS/OBSTRUCTING ADMIN OF LAW
LISTED ON REVERSE,LISTED ON REVERSE,2,LISTED ON REVERSE,LISTED ON REVERSE,LISTED ON REVERSE
LITTERING,LITTERING,2,LITTERING,LITTERING,LITTERING
LOCAL ORDINANCE,LOCAL ORDINANCE,2,LOCAL ORDINANCE,LOCAL ORDINANCE,LOCAL ORDINANCE
LOCAL ORDINANCE BY LEHPD,LOCAL ORDINANCE BY LEHPD,2,LOCAL ORDINANCE BY LEHPD,LOCAL ORDINANCE BY LEHPD,LOCAL ORDINANCE BY LEHPD
LOITERING RESISTING ARREST,LOITERING RESISTING ARREST,2,LOITERING RESISTING ARREST,LOITERING RESISTING ARREST,LOITERING RESISTING ARREST
LOITERING TO COMMIT CDS OFFENCE,LOITERING TO COMMIT CDS OFFENCE,2,LOITERING TO COMMIT CDS OFFENCE,LOITERING TO COMMIT A CDS OFFENCE,LOITERING TO COMMIT A CDS OFFENCE
LOITERING TO COMMIT A CDS OFFENSE RESISTING ARREST,LOITERING TO COMMIT A CDS OFFENSE RESISTING ARREST,2,LOITERING TO COMMIT A CDS OFFENSE RESISTING ARREST,LOITERING TO COMMIT A CDS OFFENSE & RESISTING ARREST/ELUDING OFFICER,LOITERING TO COMMIT A CDS OFFENSE & RESISTING ARREST/ELUDING OFFICER
LOITERING TO COMMIT CDS OFFENSE/RESISTING ARREST,LOITERING TO COMMIT CDS OFFENSE/RESISTING ARREST,2,LOITERING TO COMMIT CDS OFFENSE/RESISTING ARREST,LOITERING TO COMMIT A CDS OFFENSE & RESISTING ARREST/ELUDING OFFICER,LOITERING TO COMMIT A CDS OFFENSE & RESISTING ARREST/ELUDING OFFICER
LOITERING TO COMMIT A CDS OFFENSE RESISTING ARREST BY FLIGHT,LOITERING TO COMMIT A CDS OFFENSE RESISTING ARREST BY FLIGHT,2,LOITERING TO COMMIT A CDS OFFENSE RESISTING ARREST BY FLIGHT,LOITERING TO COMMIT A CDS OFFENSE RESISTING ARREST BY FLIGHT,LOITERING TO COMMIT A CDS OFFENSE RESISTING ARREST BY FLIGHT
LOITERING TO COMMIT HINDERING,LOITERING TO COMMIT HINDERING,2,LOITERING TO COMMIT HINDERING,LOITERING TO COMMIT HINDERING,LOITERING TO COMMIT HINDERING
LOITERING/CDS,LOITERING/CDS,2,LOITERING/CDS,LOITERING/CDS,LOITERING/CDS
LOITERING/RESISTING,LOITERING/RESISTING,2,LOITERING/RESISTING,LOITERING/RESISTING,LOITERING/RESISTING
LONG BRANCH CHARGES,LONG BRANCH CHARGES,2,LONG BRANCH CHARGES,LONG BRANCH CHARGES,LONG BRANCH CHARGES
MARIJUANA POSS ILLEGIBLE EVIDENCE,MARIJUANA POSS ILLEGIBLE EVIDENCE,2,MARIJUANA POSS ILLEGIBLE EVIDENCE,MARIJUANA POSS ILLEGIBLE EVIDENCE,MARIJUANA POSS ILLEGIBLE EVIDENCE
MC-395-5,MC-395-5,2,MC-395-5,MC-395-5,MC-395-5
MC:1017,MC:1017,2,MC:1017,MC:1017,MC:1017
MC/CH 395-5,MC/CH 395-5,2,MC/CH 395-5,MC/CH 395-5,MC/CH 395-5
MDMA,MDMA,2,MDMA,MDMA,MDMA
MEDICAL AID,MEDICAL AID,2,MEDICAL AID,MEDICAL AID,MEDICAL AID
MEDICAL/ PIP,MEDICAL/ PIP,2,MEDICAL/ PIP,MEDICAL/ PIP,MEDICAL/ PIP
MENTAL TRANSPORT,MENTAL TRANSPORT,2,MENTAL TRANSPORT,MENTAL TRANSPORT,MENTAL TRANSPORT
MIS,MIS,2,MIS,MIS,MIS
MISCHIEF AGG ASSAULT ON P.R,MISCHIEF AGG ASSAULT ON P.R,2,MISCHIEF AGG ASSAULT ON P.R,MISCHIEF AGG ASSAULT ON P.R,MISCHIEF AGG ASSAULT ON P.R
MISSING PERSON / E.D.P.,MISSING PERSON / E.D.P.,2,MISSING PERSON / E.D.P.,MISSING PERSON / E.D.P.,MISSING PERSON / E.D.P.
MISUSE 911,MISUSE 911,2,MISUSE 911,MISUSE 911,MISUSE 911
MOLLY,MOLLY,2,MOLLY,MOLLY,MOLLY
MOR- MISCELLANEOUS OPERATIONS REPORT,MOR- MISCELLANEOUS OPERATIONS REPORT,2,MOR- MISCELLANEOUS OPERATIONS REPORT,MOR- MISCELLANEOUS OPERATIONS REPORT,MOR- MISCELLANEOUS OPERATIONS REPORT
MOTOR VEHICLE,MOTOR VEHICLE,2,MOTOR VEHICLE,MOTOR VEHICLE,MOTOR VEHICLE
MOTOR VEHICLE & WARRANTS,MOTOR VEHICLE & WARRANTS,2,MOTOR VEHICLE & WARRANTS,MOTOR VEHICLE & WARRANTS,MOTOR VEHICLE & WARRANTS
MULTI,MULTI,2,MULTI,MULTI,MULTI
MULTI CDS/RESISTING ARREST,MULTI CDS/RESISTING ARREST,2,MULTI CDS/RESISTING ARREST,MULTI CDS/RESISTING ARREST,MULTI CDS/RESISTING ARREST
MULTIPLE 2C:12-1B(5)(A),MULTIPLE 2C:12-1B(5)(A),2,MULTIPLE 2C:12-1B(5)(A),MULTIPLE 2C:12-1B(5)(A),MULTIPLE 2C:12-1B(5)(A)
MULTIPLE CHARGES 2C:20-7,MULTIPLE CHARGES 2C:20-7,2,MULTIPLE CHARGES 2C:20-7,MULTIPLE CHARGES 2C:20-7,MULTIPLE CHARGES 2C:20-7
MULTIPLE CRIMINAL AND MOTOR VEHICLE,MULTIPLE CRIMINAL AND MOTOR VEHICLE,2,MULTIPLE CRIMINAL AND MOTOR VEHICLE,MULTIPLE CRIMINAL AND MOTOR VEHICLE,MULTIPLE CRIMINAL AND MOTOR VEHICLE
MULTIPLE DRUG CHARGES,MULTIPLE DRUG CHARGES,2,MULTIPLE DRUG CHARGES,MULTIPLE DRUG CHARGES,MULTIPLE DRUG CHARGES
MULTIPLE MV SUMMONS,MULTIPLE MV SUMMONS,2,MULTIPLE MV SUMMONS,MULTIPLE MV SUMMONS,MULTIPLE MV SUMMONS
MULTIPLE NARCOTICS CHARGES,MULTIPLE NARCOTICS CHARGES,2,MULTIPLE NARCOTICS CHARGES,MULTIPLE NARCOTICS CHARGES,MULTIPLE NARCOTICS CHARGES
MUNICIPAL SUMMONS,MUNICIPAL SUMMONS,2,MUNICIPAL SUMMONS,MUNICIPAL SUMMONS,MUNICIPAL SUMMONS
MUNICIPAL SUMMONS DISORDERLY CONDUCT (CPF-017785),MUNICIPAL SUMMONS DISORDERLY CONDUCT (CPF-017785),2,MUNICIPAL SUMMONS DISORDERLY CONDUCT (CPF-017785),MUNICIPAL SUMMONS DISORDERLY CONDUCT (CPF-017785),MUNICIPAL SUMMONS DISORDERLY CONDUCT (CPF-017785)
MURDER,MURDER,2,MURDER,MURDER,MURDER
MV OFFENSES,MV OFFENSES,2,MV OFFENSES,MV OFFENSES,MV OFFENSES
MV THEFT,MV THEFT,2,MV THEFT,MV THEFT,MV THEFT
N.J.S. 2C:12-1B(5)(C),N.J.S. 2C:12-1B(5)(C),2,N.J.S. 2C:12-1B(5)(C),N.J.S. 2C:12-1B(5)(C),N.J.S. 2C:12-1B(5)(C)
N.J.S. 2C:29-1A,N.J.S. 2C:29-1A,2,N.J.S. 2C:29-1A,N.J.S. 2C:29-1A,N.J.S. 2C:29-1A
NARCOTICS DISTRIBUTION,NARCOTICS DISTRIBUTION,2,NARCOTICS DISTRIBUTION,NARCOTICS DISTRIBUTION,NARCOTICS DISTRIBUTION
NARCOTICS X3 AND RESISTING,NARCOTICS X3 AND RESISTING,2,NARCOTICS X3 AND RESISTING,NARCOTICS X3 AND RESISTING,NARCOTICS X3 AND RESISTING
NCIC,NCIC,2,NCIC,NCIC,NCIC
NCIC 2 CONTEMPTS DIST 90,NCIC 2 CONTEMPTS DIST 90,2,NCIC 2 CONTEMPTS DIST 90,NCIC 2 CONTEMPTS DIST 90,NCIC 2 CONTEMPTS DIST 90
NCIC IMPROPER BEHAVIOR RESISTING,NCIC IMPROPER BEHAVIOR RESISTING,2,NCIC IMPROPER BEHAVIOR RESISTING,NCIC IMPROPER BEHAVIOR RESISTING,NCIC IMPROPER BEHAVIOR RESISTING
NO,NO,2,NO,NO,NO
NO CHARGE (EDP),NO CHARGE (EDP),2,NO CHARGE (EDP),NO CHARGE (EDP),NO CHARGE (EDP)
NO CHARGES FILED AT THE TIME OF THIS REPORT,NO CHARGES FILED AT THE TIME OF THIS REPORT,2,NO CHARGES FILED AT THE TIME OF THIS REPORT,NO CHARGES FILED AT THE TIME OF THIS REPORT,NO CHARGES FILED AT THE TIME OF THIS REPORT
NO CHARGES SENT TO PIP,NO CHARGES SENT TO PIP,2,NO CHARGES SENT TO PIP,NO CHARGES SENT TO PIP,NO CHARGES SENT TO PIP
NO/ PESS,NO/ PESS,2,NO/ PESS,NO/ PESS,NO/ PESS
NON CRIMINAL,NON CRIMINAL,2,NON CRIMINAL,NON CRIMINAL,NON CRIMINAL
NONE AT THIS TIME,NONE AT THIS TIME,2,NONE AT THIS TIME,NONE AT THIS TIME,NONE AT THIS TIME
NONE. DUE TO MENTAL STATUS,NONE. DUE TO MENTAL STATUS,2,NONE. DUE TO MENTAL STATUS,NONE. DUE TO MENTAL STATUS,NONE. DUE TO MENTAL STATUS
NOT ARRESTED,NOT ARRESTED,2,NOT ARRESTED,NOT ARRESTED,NOT ARRESTED
NOT AT THIS TIME,NOT AT THIS TIME,2,NOT AT THIS TIME,NOT AT THIS TIME,NOT AT THIS TIME
NPBO 3-13.2,NPBO 3-13.2,2,NPBO 3-13.2,NPBO 3-13.2,NPBO 3-13.2
NUMEROUS MV OFFENSES,NUMEROUS MV OFFENSES,2,NUMEROUS MV OFFENSES,NUMEROUS MV OFFENSES,NUMEROUS MV OFFENSES
OBS. ADM LAW & RESISTING,OBS. ADM LAW & RESISTING,2,OBS. ADM LAW & RESISTING,OBS. ADM LAW & RESISTING,OBS. ADM LAW & RESISTING
OBST. ADM. LAW RESISTING ARREST,OBST. ADM. LAW RESISTING ARREST,2,OBST. ADM. LAW RESISTING ARREST,OBST. ADM. LAW RESISTING ARREST,OBST. ADM. LAW RESISTING ARREST
OBST/RESIST,OBST/RESIST,2,OBST/RESIST,OBST/RESIST,OBST/RESIST
OBST/RESISTING/DWI,OBST/RESISTING/DWI,2,OBST/RESISTING/DWI,OBST/RESISTING/DWI,OBST/RESISTING/DWI
OBSTRUCT ADMIN LAW & IMPROPER,OBSTRUCT ADMIN LAW & IMPROPER,2,OBSTRUCT ADMIN LAW & IMPROPER,OBSTRUCT ADMIN LAW & IMPROPER,OBSTRUCT ADMIN LAW & IMPROPER
OBSTRUCT LAW,OBSTRUCT LAW,2,OBSTRUCT LAW,OBSTRUCT LAW,OBSTRUCT LAW
OBSTRUCT. ADMIN. LAW RESIST ARREST HINDERING,OBSTRUCT. ADMIN. LAW RESIST ARREST HINDERING,2,OBSTRUCT. ADMIN. LAW RESIST ARREST HINDERING,OBSTRUCT. ADMIN. LAW RESIST ARREST HINDERING,OBSTRUCT. ADMIN. LAW RESIST ARREST HINDERING
OBSTRUCT/RESIST/DWI,OBSTRUCT/RESIST/DWI,2,OBSTRUCT/RESIST/DWI,OBSTRUCT/RESIST/DWI,OBSTRUCT/RESIST/DWI
OBSTRUCT/RESISTING,OBSTRUCT/RESISTING,2,OBSTRUCT/RESISTING,OBSTRUCT/RESISTING,OBSTRUCT/RESISTING
OBSTRUCT/RESISTING ARREST,OBSTRUCT/RESISTING ARREST,2,OBSTRUCT/RESISTING ARREST,OBSTRUCT/RESISTING ARREST,OBSTRUCT/RESISTING ARREST
OBSTRUCTED,OBSTRUCTED,2,OBSTRUCTED,OBSTRUCTED,OBSTRUCTED
OBSTRUCTING - ILLEGIBLE/RESISTING,OBSTRUCTING - ILLEGIBLE/RESISTING,2,OBSTRUCTING - ILLEGIBLE/RESISTING,OBSTRUCTING - ILLEGIBLE/RESISTING,OBSTRUCTING - ILLEGIBLE/RESISTING
OBSTRUCTING - THREATS,OBSTRUCTING - THREATS,2,OBSTRUCTING - THREATS,OBSTRUCTING - THREATS,OBSTRUCTING - THREATS
OBSTRUCTING & RESISTING - DEFIANT TRESPASSING,OBSTRUCTING & RESISTING - DEFIANT TRESPASSING,2,OBSTRUCTING & RESISTING - DEFIANT TRESPASSING,OBSTRUCTING & RESISTING - DEFIANT TRESPASSING,OBSTRUCTING & RESISTING - DEFIANT TRESPASSING
OBSTRUCTING 2C:29-1A RESISTING 2C:29-2A,OBSTRUCTING 2C:29-1A RESISTING 2C:29-2A,2,OBSTRUCTING 2C:29-1A RESISTING 2C:29-2A,OBSTRUCTING 2C:29-1A RESISTING 2C:29-2A,OBSTRUCTING 2C:29-1A RESISTING 2C:29-2A
OBSTRUCTING ADMIN LAW,OBSTRUCTING ADMIN LAW,2,OBSTRUCTING ADMIN LAW,OBSTRUCTING ADMIN LAW,OBSTRUCTING ADMIN LAW
